NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQNA3000LMEURT,NASDAQ N America Cnsmr Goods Lg Md Cap EUR TR (NQNA3000LMEURT)
NASDAQOMX/NQNA3000LMEURN,NASDAQ N America Cnsmr Goods Lg Md Cap EUR NTR (NQNA3000LMEURN)
NASDAQOMX/NQNA3000LM,NASDAQ N America Cnsmr Goods Lg Md Cap Index (NQNA3000LM)
NASDAQOMX/NQNA3000LMJPY,NASDAQ N America Cnsmr Goods Lg Md Cap JPY (NQNA3000LMJPY)
NASDAQOMX/NQNA3000LMGBP,NASDAQ N America Cnsmr Goods Lg Md Cap GBP (NQNA3000LMGBP)
NASDAQOMX/NQNA3000LMGBPT,NASDAQ N America Cnsmr Goods Lg Md Cap GBP TR (NQNA3000LMGBPT)
NASDAQOMX/NQNA3000LMGBPN,NASDAQ N America Cnsmr Goods Lg Md Cap GBP NTR (NQNA3000LMGBPN)
NASDAQOMX/NQNA3000LMT,NASDAQ N America Cnsmr Goods Lg Md Cap TR Index (NQNA3000LMT)
NASDAQOMX/NQNA3000LMJPYN,NASDAQ N America Cnsmr Goods Lg Md Cap JPY NTR (NQNA3000LMJPYN)
NASDAQOMX/NQNA3000LMN,NASDAQ N America Cnsmr Goods Lg Md Cap NTR Index (NQNA3000LMN)
NASDAQOMX/NQNA3000LMJPYT,NASDAQ N America Cnsmr Goods Lg Md Cap JPY TR (NQNA3000LMJPYT)
NASDAQOMX/NQNA3000N,NASDAQ N America Cnsmr Goods NTR Index (NQNA3000N)
NASDAQOMX/NQNA5000AUD,NASDAQ N America Cnsmr Svcs AUD Index (NQNA5000AUD)
NASDAQOMX/NQNA3000T,NASDAQ N America Cnsmr Goods TR Index (NQNA3000T)
NASDAQOMX/NQNA5000AUDN,NASDAQ N America Cnsmr Svcs AUD NTR Index (NQNA5000AUDN)
NASDAQOMX/NQNA5000AUDT,NASDAQ N America Cnsmr Svcs AUD TR Index (NQNA5000AUDT)
NASDAQOMX/NQNA5000CADN,NASDAQ N America Cnsmr Svcs CAD NTR Index (NQNA5000CADN)
NASDAQOMX/NQNA5000EURN,NASDAQ N America Cnsmr Svcs EUR NTR Index (NQNA5000EURN)
NASDAQOMX/NQNA5000CAD,NASDAQ N America Cnsmr Svcs CAD Index (NQNA5000CAD)
NASDAQOMX/NQNA5000EUR,NASDAQ N America Cnsmr Svcs EUR Index (NQNA5000EUR)
NASDAQOMX/NQNA5000EURT,NASDAQ N America Cnsmr Svcs EUR TR Index (NQNA5000EURT)
NASDAQOMX/NQNA5000CADT,NASDAQ N America Cnsmr Svcs CAD TR Index (NQNA5000CADT)
NASDAQOMX/NQNA5000,NASDAQ N America Cnsmr Svcs Index (NQNA5000)
NASDAQOMX/NQNA5000JPYN,NASDAQ N America Cnsmr Svcs JPY NTR Index (NQNA5000JPYN)
NASDAQOMX/NQNA5000GBP,NASDAQ N America Cnsmr Svcs GBP Index (NQNA5000GBP)
NASDAQOMX/NQNA5000GBPN,NASDAQ N America Cnsmr Svcs GBP NTR Index (NQNA5000GBPN)
NASDAQOMX/NQNA5000GBPT,NASDAQ N America Cnsmr Svcs GBP TR Index (NQNA5000GBPT)
NASDAQOMX/NQNA5000JPY,NASDAQ N America Cnsmr Svcs JPY Index (NQNA5000JPY)
NASDAQOMX/NQNA5000LMAUDT,NASDAQ N America Cnsmr Svcs Lg Md Cap AUD TR (NQNA5000LMAUDT)
NASDAQOMX/NQNA5000JPYT,NASDAQ N America Cnsmr Svcs JPY TR Index (NQNA5000JPYT)
NASDAQOMX/NQNA5000LMAUD,NASDAQ N America Cnsmr Svcs Lg Md Cap AUD (NQNA5000LMAUD)
NASDAQOMX/NQNA5000LMAUDN,NASDAQ N America Cnsmr Svcs Lg Md Cap AUD NTR (NQNA5000LMAUDN)
NASDAQOMX/NQNA5000LMCAD,NASDAQ N America Cnsmr Svcs Lg Md Cap CAD (NQNA5000LMCAD)
NASDAQOMX/NQNA5000LMCADT,NASDAQ N America Cnsmr Svcs Lg Md Cap CAD TR (NQNA5000LMCADT)
NASDAQOMX/NQNA5000LMCADN,NASDAQ N America Cnsmr Svcs Lg Md Cap CAD NTR (NQNA5000LMCADN)
NASDAQOMX/NQNA5000LMEURN,NASDAQ N America Cnsmr Svcs Lg Md Cap EUR NTR (NQNA5000LMEURN)
NASDAQOMX/NQNA5000LMEUR,NASDAQ N America Cnsmr Svcs Lg Md Cap EUR (NQNA5000LMEUR)
NASDAQOMX/NQNA5000LMEURT,NASDAQ N America Cnsmr Svcs Lg Md Cap EUR TR (NQNA5000LMEURT)
NASDAQOMX/NQNA5000LMGBP,NASDAQ N America Cnsmr Svcs Lg Md Cap GBP (NQNA5000LMGBP)
NASDAQOMX/NQNA5000LMGBPN,NASDAQ N America Cnsmr Svcs Lg Md Cap GBP NTR (NQNA5000LMGBPN)
NASDAQOMX/NQNA5000LMGBPT,NASDAQ N America Cnsmr Svcs Lg Md Cap GBP TR (NQNA5000LMGBPT)
NASDAQOMX/NQNA5000LMJPY,NASDAQ N America Cnsmr Svcs Lg Md Cap JPY (NQNA5000LMJPY)
NASDAQOMX/NQNA5000LM,NASDAQ N America Cnsmr Svcs Lg Md Cap Index (NQNA5000LM)
NASDAQOMX/NQNA5000LMJPYN,NASDAQ N America Cnsmr Svcs Lg Md Cap JPY NTR (NQNA5000LMJPYN)
NASDAQOMX/NQNA5000LMJPYT,NASDAQ N America Cnsmr Svcs Lg Md Cap JPY TR (NQNA5000LMJPYT)
NASDAQOMX/NQNA5000LMN,NASDAQ N America Cnsmr Svcs Lg Md Cap NTR Index (NQNA5000LMN)
NASDAQOMX/NQNA5000LMT,NASDAQ N America Cnsmr Svcs Lg Md Cap TR Index (NQNA5000LMT)
NASDAQOMX/NQNA5000T,NASDAQ N America Cnsmr Svcs TR Index (NQNA5000T)
NASDAQOMX/NQNA5000N,NASDAQ N America Cnsmr Svcs NTR Index (NQNA5000N)
NASDAQOMX/NQNA2300AUDT,NASDAQ N America Constr & Matls AUD TR Index (NQNA2300AUDT)
NASDAQOMX/NQNA2300AUDN,NASDAQ N America Constr & Matls AUD NTR Index (NQNA2300AUDN)
NASDAQOMX/NQNA2300AUD,NASDAQ N America Constr & Matls AUD Index (NQNA2300AUD)
NASDAQOMX/NQNA2300CAD,NASDAQ N America Constr & Matls CAD Index (NQNA2300CAD)
NASDAQOMX/NQNA2300CADN,NASDAQ N America Constr & Matls CAD NTR Index (NQNA2300CADN)
NASDAQOMX/NQNA2300EUR,NASDAQ N America Constr & Matls EUR Index (NQNA2300EUR)
NASDAQOMX/NQNA2300EURN,NASDAQ N America Constr & Matls EUR NTR Index (NQNA2300EURN)
NASDAQOMX/NQNA2300CADT,NASDAQ N America Constr & Matls CAD TR Index (NQNA2300CADT)
NASDAQOMX/NQNA2300GBPT,NASDAQ N America Constr & Matls GBP TR Index (NQNA2300GBPT)
NASDAQOMX/NQNA2300EURT,NASDAQ N America Constr & Matls EUR TR Index (NQNA2300EURT)
NASDAQOMX/NQNA2300GBP,NASDAQ N America Constr & Matls GBP Index (NQNA2300GBP)
NASDAQOMX/NQNA2300GBPN,NASDAQ N America Constr & Matls GBP NTR Index (NQNA2300GBPN)
NASDAQOMX/NQNA2300,NASDAQ N America Constr & Matls Index (NQNA2300)
NASDAQOMX/NQNA2300JPY,NASDAQ N America Constr & Matls JPY Index (NQNA2300JPY)
NASDAQOMX/NQNA2300JPYT,NASDAQ N America Constr & Matls JPY TR Index (NQNA2300JPYT)
NASDAQOMX/NQNA2300JPYN,NASDAQ N America Constr & Matls JPY NTR Index (NQNA2300JPYN)
NASDAQOMX/NQNA2300LMAUDN,NASDAQ N America Constr & Matls Lg Md Cap AUD NTR (NQNA2300LMAUDN)
NASDAQOMX/NQNA2300LMAUDT,NASDAQ N America Constr & Matls Lg Md Cap AUD TR (NQNA2300LMAUDT)
NASDAQOMX/NQNA2300LM,NASDAQ N America Constr & Matls Lg Md Cap (NQNA2300LM)
NASDAQOMX/NQNA2300LMAUD,NASDAQ N America Constr & Matls Lg Md Cap AUD (NQNA2300LMAUD)
NASDAQOMX/NQNA2300LMCAD,NASDAQ N America Constr & Matls Lg Md Cap CAD (NQNA2300LMCAD)
NASDAQOMX/NQNA2300LMCADT,NASDAQ N America Constr & Matls Lg Md Cap CAD TR (NQNA2300LMCADT)
NASDAQOMX/NQNA2300LMCADN,NASDAQ N America Constr & Matls Lg Md Cap CAD NTR (NQNA2300LMCADN)
NASDAQOMX/NQNA2300LMEUR,NASDAQ N America Constr & Matls Lg Md Cap EUR (NQNA2300LMEUR)
NASDAQOMX/NQNA2300LMGBP,NASDAQ N America Constr & Matls Lg Md Cap GBP (NQNA2300LMGBP)
NASDAQOMX/NQNA2300LMEURT,NASDAQ N America Constr & Matls Lg Md Cap EUR TR (NQNA2300LMEURT)
NASDAQOMX/NQNA2300LMGBPN,NASDAQ N America Constr & Matls Lg Md Cap GBP NTR (NQNA2300LMGBPN)
NASDAQOMX/NQNA2300LMEURN,NASDAQ N America Constr & Matls Lg Md Cap EUR NTR (NQNA2300LMEURN)
NASDAQOMX/NQNA2300LMJPY,NASDAQ N America Constr & Matls Lg Md Cap JPY (NQNA2300LMJPY)
NASDAQOMX/NQNA2300LMGBPT,NASDAQ N America Constr & Matls Lg Md Cap GBP TR (NQNA2300LMGBPT)
NASDAQOMX/NQNA2300LMN,NASDAQ N America Constr & Matls Lg Md Cap NTR (NQNA2300LMN)
NASDAQOMX/NQNA2300LMJPYT,NASDAQ N America Constr & Matls Lg Md Cap JPY TR (NQNA2300LMJPYT)
NASDAQOMX/NQNA2300LMT,NASDAQ N America Constr & Matls Lg Md Cap TR (NQNA2300LMT)
NASDAQOMX/NQNA2300LMJPYN,NASDAQ N America Constr & Matls Lg Md Cap JPY NTR (NQNA2300LMJPYN)
NASDAQOMX/NQNAEUR,NASDAQ N America EUR Index (NQNAEUR)
NASDAQOMX/NQNAEURN,NASDAQ N America EUR NTR Index (NQNAEURN)
NASDAQOMX/NQNA2300N,NASDAQ N America Constr & Matls NTR Index (NQNA2300N)
NASDAQOMX/NQNA2300T,NASDAQ N America Constr & Matls TR Index (NQNA2300T)
NASDAQOMX/NQNAEURT,NASDAQ N America EUR TR Index (NQNAEURT)
NASDAQOMX/NQNA8700AUDT,NASDAQ N America Financial Svcs AUD TR Index (NQNA8700AUDT)
NASDAQOMX/NQNA8700AUDN,NASDAQ N America Financial Svcs AUD NTR Index (NQNA8700AUDN)
NASDAQOMX/NQNA8700AUD,NASDAQ N America Financial Svcs AUD Index (NQNA8700AUD)
NASDAQOMX/NQNA8700EURN,NASDAQ N America Financial Svcs EUR NTR Index (NQNA8700EURN)
NASDAQOMX/NQNA8700CAD,NASDAQ N America Financial Svcs CAD Index (NQNA8700CAD)
NASDAQOMX/NQNA8700CADN,NASDAQ N America Financial Svcs CAD NTR Index (NQNA8700CADN)
NASDAQOMX/NQNA8700EURT,NASDAQ N America Financial Svcs EUR TR Index (NQNA8700EURT)
NASDAQOMX/NQNA8700EUR,NASDAQ N America Financial Svcs EUR Index (NQNA8700EUR)
NASDAQOMX/NQNA8700CADT,NASDAQ N America Financial Svcs CAD TR Index (NQNA8700CADT)
NASDAQOMX/NQNA8700GBP,NASDAQ N America Financial Svcs GBP Index (NQNA8700GBP)
NASDAQOMX/NQNA8700GBPT,NASDAQ N America Financial Svcs GBP TR Index (NQNA8700GBPT)
NASDAQOMX/NQNA8700GBPN,NASDAQ N America Financial Svcs GBP NTR Index (NQNA8700GBPN)
NASDAQOMX/NQNA8700,NASDAQ N America Financial Svcs Index (NQNA8700)
NASDAQOMX/NQNA8700JPYN,NASDAQ N America Financial Svcs JPY NTR Index (NQNA8700JPYN)
NASDAQOMX/NQNA8700JPY,NASDAQ N America Financial Svcs JPY Index (NQNA8700JPY)
NASDAQOMX/NQNA8700JPYT,NASDAQ N America Financial Svcs JPY TR Index (NQNA8700JPYT)
NASDAQOMX/NQNA8700LMAUDN,NASDAQ N America Financial Svcs Lg Md Cap AUD NTR (NQNA8700LMAUDN)
NASDAQOMX/NQNA8700LMAUDT,NASDAQ N America Financial Svcs Lg Md Cap AUD TR (NQNA8700LMAUDT)
NASDAQOMX/NQNA8700LM,NASDAQ N America Financial Svcs Lg Md Cap (NQNA8700LM)
NASDAQOMX/NQNA8700LMAUD,NASDAQ N America Financial Svcs Lg Md Cap AUD (NQNA8700LMAUD)
NASDAQOMX/NQNA8700LMCADN,NASDAQ N America Financial Svcs Lg Md Cap CAD NTR (NQNA8700LMCADN)
NASDAQOMX/NQNA8700LMCADT,NASDAQ N America Financial Svcs Lg Md Cap CAD TR (NQNA8700LMCADT)
NASDAQOMX/NQNA8700LMCAD,NASDAQ N America Financial Svcs Lg Md Cap CAD (NQNA8700LMCAD)
NASDAQOMX/NQNA8700LMEURN,NASDAQ N America Financial Svcs Lg Md Cap EUR NTR (NQNA8700LMEURN)
NASDAQOMX/NQNA8700LMEUR,NASDAQ N America Financial Svcs Lg Md Cap EUR (NQNA8700LMEUR)
NASDAQOMX/NQNA8700LMEURT,NASDAQ N America Financial Svcs Lg Md Cap EUR TR (NQNA8700LMEURT)
NASDAQOMX/NQNA8700LMGBPN,NASDAQ N America Financial Svcs Lg Md Cap GBP NTR (NQNA8700LMGBPN)
NASDAQOMX/NQNA8700LMGBP,NASDAQ N America Financial Svcs Lg Md Cap GBP (NQNA8700LMGBP)
NASDAQOMX/NQNA8700LMGBPT,NASDAQ N America Financial Svcs Lg Md Cap GBP TR (NQNA8700LMGBPT)
NASDAQOMX/NQNA8700LMJPY,NASDAQ N America Financial Svcs Lg Md Cap JPY (NQNA8700LMJPY)
NASDAQOMX/NQNA8700LMJPYN,NASDAQ N America Financial Svcs Lg Md Cap JPY NTR (NQNA8700LMJPYN)
NASDAQOMX/NQNA8700LMN,NASDAQ N America Financial Svcs Lg Md Cap NTR (NQNA8700LMN)
NASDAQOMX/NQNA8700LMJPYT,NASDAQ N America Financial Svcs Lg Md Cap JPY TR (NQNA8700LMJPYT)
NASDAQOMX/NQNA8700LMT,NASDAQ N America Financial Svcs Lg Md Cap TR (NQNA8700LMT)
NASDAQOMX/NQNA8700N,NASDAQ N America Financial Svcs NTR Index (NQNA8700N)
NASDAQOMX/NQNA8700T,NASDAQ N America Financial Svcs TR Index (NQNA8700T)
NASDAQOMX/NQNA8000AUDN,NASDAQ N America Financials AUD NTR Index (NQNA8000AUDN)
NASDAQOMX/NQNA8000CAD,NASDAQ N America Financials CAD Index (NQNA8000CAD)
NASDAQOMX/NQNA8000AUDT,NASDAQ N America Financials AUD TR Index (NQNA8000AUDT)
NASDAQOMX/NQNA8000AUD,NASDAQ N America Financials AUD Index (NQNA8000AUD)
NASDAQOMX/NQNA8000CADN,NASDAQ N America Financials CAD NTR Index (NQNA8000CADN)
NASDAQOMX/NQNA8000CADT,NASDAQ N America Financials CAD TR Index (NQNA8000CADT)
NASDAQOMX/NQNA8000EURT,NASDAQ N America Financials EUR TR Index (NQNA8000EURT)
NASDAQOMX/NQNA8000EURN,NASDAQ N America Financials EUR NTR Index (NQNA8000EURN)
NASDAQOMX/NQNA8000EUR,NASDAQ N America Financials EUR Index (NQNA8000EUR)
NASDAQOMX/NQNA8000GBP,NASDAQ N America Financials GBP Index (NQNA8000GBP)
NASDAQOMX/NQNA8000GBPN,NASDAQ N America Financials GBP NTR Index (NQNA8000GBPN)
NASDAQOMX/NQNA8000JPY,NASDAQ N America Financials JPY Index (NQNA8000JPY)
NASDAQOMX/NQNA8000GBPT,NASDAQ N America Financials GBP TR Index (NQNA8000GBPT)
NASDAQOMX/NQNA8000,NASDAQ N America Financials Index (NQNA8000)
NASDAQOMX/NQNA8000JPYN,NASDAQ N America Financials JPY NTR Index (NQNA8000JPYN)
NASDAQOMX/NQNA8000LMAUD,NASDAQ N America Financials Lg Md Cap AUD (NQNA8000LMAUD)
NASDAQOMX/NQNA8000JPYT,NASDAQ N America Financials JPY TR Index (NQNA8000JPYT)
NASDAQOMX/NQNA8000LMAUDT,NASDAQ N America Financials Lg Md Cap AUD TR (NQNA8000LMAUDT)
NASDAQOMX/NQNA8000LMCAD,NASDAQ N America Financials Lg Md Cap CAD (NQNA8000LMCAD)
NASDAQOMX/NQNA8000LMAUDN,NASDAQ N America Financials Lg Md Cap AUD NTR (NQNA8000LMAUDN)
NASDAQOMX/NQNA8000LMCADN,NASDAQ N America Financials Lg Md Cap CAD NTR (NQNA8000LMCADN)
NASDAQOMX/NQNA8000LMEURN,NASDAQ N America Financials Lg Md Cap EUR NTR (NQNA8000LMEURN)
NASDAQOMX/NQNA8000LMCADT,NASDAQ N America Financials Lg Md Cap CAD TR (NQNA8000LMCADT)
NASDAQOMX/NQNA8000LMEUR,NASDAQ N America Financials Lg Md Cap EUR (NQNA8000LMEUR)
NASDAQOMX/NQNA8000LMEURT,NASDAQ N America Financials Lg Md Cap EUR TR (NQNA8000LMEURT)
NASDAQOMX/NQNA8000LMGBP,NASDAQ N America Financials Lg Md Cap GBP (NQNA8000LMGBP)
NASDAQOMX/NQNA8000LMGBPT,NASDAQ N America Financials Lg Md Cap GBP TR (NQNA8000LMGBPT)
NASDAQOMX/NQNA8000LMJPY,NASDAQ N America Financials Lg Md Cap JPY (NQNA8000LMJPY)
NASDAQOMX/NQNA8000LMGBPN,NASDAQ N America Financials Lg Md Cap GBP NTR (NQNA8000LMGBPN)
NASDAQOMX/NQNA8000LM,NASDAQ N America Financials Lg Md Cap Index (NQNA8000LM)
NASDAQOMX/NQNA8000LMJPYN,NASDAQ N America Financials Lg Md Cap JPY NTR (NQNA8000LMJPYN)
NASDAQOMX/NQNA8000LMN,NASDAQ N America Financials Lg Md Cap NTR Index (NQNA8000LMN)
NASDAQOMX/NQNA8000LMT,NASDAQ N America Financials Lg Md Cap TR Index (NQNA8000LMT)
NASDAQOMX/NQNA8000LMJPYT,NASDAQ N America Financials Lg Md Cap JPY TR (NQNA8000LMJPYT)
NASDAQOMX/NQNA3500AUDN,NASDAQ N America Food & Beverage AUD NTR Index (NQNA3500AUDN)
NASDAQOMX/NQNA3500AUDT,NASDAQ N America Food & Beverage AUD TR Index (NQNA3500AUDT)
NASDAQOMX/NQNA8000T,NASDAQ N America Financials TR Index (NQNA8000T)
NASDAQOMX/NQNA3500AUD,NASDAQ N America Food & Beverage AUD Index (NQNA3500AUD)
NASDAQOMX/NQNA3500CAD,NASDAQ N America Food & Beverage CAD Index (NQNA3500CAD)
NASDAQOMX/NQNA8000N,NASDAQ N America Financials NTR Index (NQNA8000N)
NASDAQOMX/NQNA3500CADT,NASDAQ N America Food & Beverage CAD TR Index (NQNA3500CADT)
NASDAQOMX/NQNA3500EUR,NASDAQ N America Food & Beverage EUR Index (NQNA3500EUR)
NASDAQOMX/NQNA3500CADN,NASDAQ N America Food & Beverage CAD NTR Index (NQNA3500CADN)
NASDAQOMX/NQNA3500GBP,NASDAQ N America Food & Beverage GBP Index (NQNA3500GBP)
NASDAQOMX/NQNA3500EURN,NASDAQ N America Food & Beverage EUR NTR Index (NQNA3500EURN)
NASDAQOMX/NQNA3500EURT,NASDAQ N America Food & Beverage EUR TR Index (NQNA3500EURT)
NASDAQOMX/NQNA3500GBPT,NASDAQ N America Food & Beverage GBP TR Index (NQNA3500GBPT)
NASDAQOMX/NQNA3500,NASDAQ N America Food & Beverage Index (NQNA3500)
NASDAQOMX/NQNA3500JPY,NASDAQ N America Food & Beverage JPY Index (NQNA3500JPY)
NASDAQOMX/NQNA3500GBPN,NASDAQ N America Food & Beverage GBP NTR Index (NQNA3500GBPN)
NASDAQOMX/NQNA3500LMAUDN,NASDAQ N America Food & Beverage Lg Md Cap AUD NTR (NQNA3500LMAUDN)
NASDAQOMX/NQNA3500JPYT,NASDAQ N America Food & Beverage JPY TR Index (NQNA3500JPYT)
NASDAQOMX/NQNA3500LMAUD,NASDAQ N America Food & Beverage Lg Md Cap AUD (NQNA3500LMAUD)
NASDAQOMX/NQNA3500LMAUDT,NASDAQ N America Food & Beverage Lg Md Cap AUD TR (NQNA3500LMAUDT)
NASDAQOMX/NQNA3500JPYN,NASDAQ N America Food & Beverage JPY NTR Index (NQNA3500JPYN)
NASDAQOMX/NQNA3500LM,NASDAQ N America Food & Beverage Lg Md Cap (NQNA3500LM)
NASDAQOMX/NQNA3500LMCADN,NASDAQ N America Food & Beverage Lg Md Cap CAD NTR (NQNA3500LMCADN)
NASDAQOMX/NQNA3500LMCAD,NASDAQ N America Food & Beverage Lg Md Cap CAD (NQNA3500LMCAD)
NASDAQOMX/NQNA3500LMGBPN,NASDAQ N America Food & Beverage Lg Md Cap GBP NTR (NQNA3500LMGBPN)
NASDAQOMX/NQNA3500LMGBPT,NASDAQ N America Food & Beverage Lg Md Cap GBP TR (NQNA3500LMGBPT)
NASDAQOMX/NQNA3500LMEUR,NASDAQ N America Food & Beverage Lg Md Cap EUR (NQNA3500LMEUR)
NASDAQOMX/NQNA3500LMCADT,NASDAQ N America Food & Beverage Lg Md Cap CAD TR (NQNA3500LMCADT)
NASDAQOMX/NQNA3500LMJPY,NASDAQ N America Food & Beverage Lg Md Cap JPY (NQNA3500LMJPY)
NASDAQOMX/NQNA3500LMEURT,NASDAQ N America Food & Beverage Lg Md Cap EUR TR (NQNA3500LMEURT)
NASDAQOMX/NQNA3500LMGBP,NASDAQ N America Food & Beverage Lg Md Cap GBP (NQNA3500LMGBP)
NASDAQOMX/NQNA3500LMEURN,NASDAQ N America Food & Beverage Lg Md Cap EUR NTR (NQNA3500LMEURN)
NASDAQOMX/NQNA3500LMJPYN,NASDAQ N America Food & Beverage Lg Md Cap JPY NTR (NQNA3500LMJPYN)
NASDAQOMX/NQNA3500LMJPYT,NASDAQ N America Food & Beverage Lg Md Cap JPY TR (NQNA3500LMJPYT)
NASDAQOMX/NQNA3500LMT,NASDAQ N America Food & Beverage Lg Md Cap TR (NQNA3500LMT)
NASDAQOMX/NQNA3500N,NASDAQ N America Food & Beverage NTR Index (NQNA3500N)
NASDAQOMX/NQNA3500LMN,NASDAQ N America Food & Beverage Lg Md Cap NTR (NQNA3500LMN)
NASDAQOMX/NQNAGBPN,NASDAQ N America GBP NTR Index (NQNAGBPN)
NASDAQOMX/NQNA4000AUD,NASDAQ N America Health Care AUD Index (NQNA4000AUD)
NASDAQOMX/NQNAGBP,NASDAQ N America GBP Index (NQNAGBP)
NASDAQOMX/NQNAGBPT,NASDAQ N America GBP TR Index (NQNAGBPT)
NASDAQOMX/NQNA4000AUDN,NASDAQ N America Health Care AUD NTR Index (NQNA4000AUDN)
NASDAQOMX/NQNA3500T,NASDAQ N America Food & Beverage TR Index (NQNA3500T)
NASDAQOMX/NQNA4000CAD,NASDAQ N America Health Care CAD Index (NQNA4000CAD)
NASDAQOMX/NQNA4000CADT,NASDAQ N America Health Care CAD TR Index (NQNA4000CADT)
NASDAQOMX/NQNA4000AUDT,NASDAQ N America Health Care AUD TR Index (NQNA4000AUDT)
NASDAQOMX/NQNA4000CADN,NASDAQ N America Health Care CAD NTR Index (NQNA4000CADN)
NASDAQOMX/NQNA4000EUR,NASDAQ N America Health Care EUR Index (NQNA4000EUR)
NASDAQOMX/NQNA4000GBP,NASDAQ N America Health Care GBP Index (NQNA4000GBP)
NASDAQOMX/NQNA4000GBPT,NASDAQ N America Health Care GBP TR Index (NQNA4000GBPT)
NASDAQOMX/NQNA4000JPYT,NASDAQ N America Health Care JPY TR Index (NQNA4000JPYT)
NASDAQOMX/NQNA4000GBPN,NASDAQ N America Health Care GBP NTR Index (NQNA4000GBPN)
NASDAQOMX/NQNA4000EURT,NASDAQ N America Health Care EUR TR Index (NQNA4000EURT)
NASDAQOMX/NQNA4000,NASDAQ N America Health Care Index (NQNA4000)
NASDAQOMX/NQNA4000EURN,NASDAQ N America Health Care EUR NTR Index (NQNA4000EURN)
NASDAQOMX/NQNA4000JPY,NASDAQ N America Health Care JPY Index (NQNA4000JPY)
NASDAQOMX/NQNA4000JPYN,NASDAQ N America Health Care JPY NTR Index (NQNA4000JPYN)
NASDAQOMX/NQNA4000LMAUD,NASDAQ N America Health Care Lg Md Cap AUD (NQNA4000LMAUD)
NASDAQOMX/NQNA4000LMAUDN,NASDAQ N America Health Care Lg Md Cap AUD NTR (NQNA4000LMAUDN)
NASDAQOMX/NQNA4000LMCADT,NASDAQ N America Health Care Lg Md Cap CAD TR (NQNA4000LMCADT)
NASDAQOMX/NQNA4000LMCADN,NASDAQ N America Health Care Lg Md Cap CAD NTR (NQNA4000LMCADN)
NASDAQOMX/NQNA4000LMCAD,NASDAQ N America Health Care Lg Md Cap CAD (NQNA4000LMCAD)
NASDAQOMX/NQNA4000LMAUDT,NASDAQ N America Health Care Lg Md Cap AUD TR (NQNA4000LMAUDT)
NASDAQOMX/NQNA4000LMGBP,NASDAQ N America Health Care Lg Md Cap GBP (NQNA4000LMGBP)
NASDAQOMX/NQNA4000LMEURN,NASDAQ N America Health Care Lg Md Cap EUR NTR (NQNA4000LMEURN)
NASDAQOMX/NQNA4000LMEURT,NASDAQ N America Health Care Lg Md Cap EUR TR (NQNA4000LMEURT)
NASDAQOMX/NQNA4000LMGBPN,NASDAQ N America Health Care Lg Md Cap GBP NTR (NQNA4000LMGBPN)
NASDAQOMX/NQNA4000LMEUR,NASDAQ N America Health Care Lg Md Cap EUR (NQNA4000LMEUR)
NASDAQOMX/NQNA4000LMGBPT,NASDAQ N America Health Care Lg Md Cap GBP TR (NQNA4000LMGBPT)
NASDAQOMX/NQNA4000LMJPYN,NASDAQ N America Health Care Lg Md Cap JPY NTR (NQNA4000LMJPYN)
NASDAQOMX/NQNA4000LMJPYT,NASDAQ N America Health Care Lg Md Cap JPY TR (NQNA4000LMJPYT)
NASDAQOMX/NQNA4000LMJPY,NASDAQ N America Health Care Lg Md Cap JPY (NQNA4000LMJPY)
NASDAQOMX/NQNA4000LM,NASDAQ N America Health Care Lg Md Cap Index (NQNA4000LM)
NASDAQOMX/NQNA4000LMN,NASDAQ N America Health Care Lg Md Cap NTR Index (NQNA4000LMN)
NASDAQOMX/NQNA4000N,NASDAQ N America Health Care NTR Index (NQNA4000N)
NASDAQOMX/NQNA4000T,NASDAQ N America Health Care TR Index (NQNA4000T)
NASDAQOMX/NQNA4000LMT,NASDAQ N America Health Care Lg Md Cap TR Index (NQNA4000LMT)
NASDAQOMX/NQNA2700AUDT,NASDAQ N America Ind Goods & Svcs AUD TR Index (NQNA2700AUDT)
NASDAQOMX/NQNA2700AUD,NASDAQ N America Ind Goods & Svcs AUD Index (NQNA2700AUD)
NASDAQOMX/NQNA2700AUDN,NASDAQ N America Ind Goods & Svcs AUD NTR Index (NQNA2700AUDN)
NASDAQOMX/NQNA2700CADN,NASDAQ N America Ind Goods & Svcs CAD NTR Index (NQNA2700CADN)
NASDAQOMX/NQNA2700CAD,NASDAQ N America Ind Goods & Svcs CAD Index (NQNA2700CAD)
NASDAQOMX/NQNA2700CADT,NASDAQ N America Ind Goods & Svcs CAD TR Index (NQNA2700CADT)
NASDAQOMX/NQNA2700EURN,NASDAQ N America Ind Goods & Svcs EUR NTR Index (NQNA2700EURN)
NASDAQOMX/NQNA2700GBP,NASDAQ N America Ind Goods & Svcs GBP Index (NQNA2700GBP)
NASDAQOMX/NQNA2700EUR,NASDAQ N America Ind Goods & Svcs EUR Index (NQNA2700EUR)
NASDAQOMX/NQNA2700EURT,NASDAQ N America Ind Goods & Svcs EUR TR Index (NQNA2700EURT)
NASDAQOMX/NQNA2700,NASDAQ N America Ind Goods & Svcs Index (NQNA2700)
NASDAQOMX/NQNA2700GBPT,NASDAQ N America Ind Goods & Svcs GBP TR Index (NQNA2700GBPT)
