NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIA5000CADT,NASDAQ Asia Cnsmr Svcs CAD TR Index (NQASIA5000CADT)
NASDAQOMX/NQASIA5000EUR,NASDAQ Asia Cnsmr Svcs EUR Index (NQASIA5000EUR)
NASDAQOMX/NQASIA5000EURN,NASDAQ Asia Cnsmr Svcs EUR NTR Index (NQASIA5000EURN)
NASDAQOMX/NQASIA5000EURT,NASDAQ Asia Cnsmr Svcs EUR TR Index (NQASIA5000EURT)
NASDAQOMX/NQASIA5000GBP,NASDAQ Asia Cnsmr Svcs GBP Index (NQASIA5000GBP)
NASDAQOMX/NQASIA5000GBPN,NASDAQ Asia Cnsmr Svcs GBP NTR Index (NQASIA5000GBPN)
NASDAQOMX/NQASIA5000GBPT,NASDAQ Asia Cnsmr Svcs GBP TR Index (NQASIA5000GBPT)
NASDAQOMX/NQASIA5000,NASDAQ Asia Cnsmr Svcs Index (NQASIA5000)
NASDAQOMX/NQASIA5000JPY,NASDAQ Asia Cnsmr Svcs JPY Index (NQASIA5000JPY)
NASDAQOMX/NQASIA5000JPYN,NASDAQ Asia Cnsmr Svcs JPY NTR Index (NQASIA5000JPYN)
NASDAQOMX/NQASIA5000JPYT,NASDAQ Asia Cnsmr Svcs JPY TR Index (NQASIA5000JPYT)
NASDAQOMX/NQASIA5000LMCAD,NASDAQ Asia Cnsmr Svcs Large Mid Cap CAD Index (NQASIA5000LMCAD)
NASDAQOMX/NQASIA5000LMCADN,NASDAQ Asia Cnsmr Svcs Large Mid Cap CAD NTR Index (NQASIA5000LMCADN)
NASDAQOMX/NQASIA5000LMCADT,NASDAQ Asia Cnsmr Svcs Large Mid Cap CAD TR Index (NQASIA5000LMCADT)
NASDAQOMX/NQASIA5000LMEUR,NASDAQ Asia Cnsmr Svcs Large Mid Cap EUR Index (NQASIA5000LMEUR)
NASDAQOMX/NQASIA5000LMEURN,NASDAQ Asia Cnsmr Svcs Large Mid Cap EUR NTR Index (NQASIA5000LMEURN)
NASDAQOMX/NQASIA5000LMGBP,NASDAQ Asia Cnsmr Svcs Large Mid Cap GBP Index (NQASIA5000LMGBP)
NASDAQOMX/NQASIA5000LMEURT,NASDAQ Asia Cnsmr Svcs Large Mid Cap EUR TR Index (NQASIA5000LMEURT)
NASDAQOMX/NQASIA5000LMGBPN,NASDAQ Asia Cnsmr Svcs Large Mid Cap GBP NTR Index (NQASIA5000LMGBPN)
NASDAQOMX/NQASIA5000LMGBPT,NASDAQ Asia Cnsmr Svcs Large Mid Cap GBP TR Index (NQASIA5000LMGBPT)
